קוד פריט,תיאור פריט,מחיר,קרטון,יחידות,הערות 
8240504,**בייגלה כוסמין,8.9,,,
8240500,**חלה מתוקה כוסמין,8.6,,,
8240501,**לחם דגנים קל,8.9,,,
8240516,**לחם כוסמין טרי,8.9,,,
8240503,**לחם כוסמין מלא,8.9,,,
8240515,**לחם שיפון טרי,8.9,,,
8240507,**לחם שיפון מועשר,8.9,,,
8240505,**לחם שיפון מלא,8.9,,,
8240506,**לחם שיפון קל,8.9,,,
8240508,**לחמניות כוסמין,8.9,,,
8240509,**פיתה חיטה מלאה,7.6,,,
8240502,**פיתה כוסמין,7.6,,,
8240510,**פיתה מיני חיטה,8.15,,,
8240511,**פיתה מיני כוסמין,8.15,,,
8250500,*ביצי חופש אורגניות,15.76,,,
8256001,*תמר דקל נור סנסנים 5 קג,109.5,,,
8255012,*תמר דרי 400 גרם(24),9.9,,,
8256005,*תמר דרי 5 קג,94.5,,,
8255502,*תמר חלאווי 1 קג,20.9,,,
8256002,*תמר חלאווי 5 קג,94.5,,,
8255010,*תמר חלוואי 400 גרם(24),9.9,,,
8256507,*תמר מגהול  5 קג,119.5,,,
8256506,*תמר מגהול 1 קג,24.9,,,
8256509,*תמר מגהול 2 קג,26.9,,,
8256503,*תמר מגהול אורגני 500 גרם(16),13.9,,,
8130503,אבוקדו האס אורגני,33.9,,,
8130504,אבוקדו ריד אורגני,30.9,,,
8131000,אבטיח  אורגני - מעולה וטעים!!!,4.9,,,מוגבל!!!
8131001,אגסים אורגניים,19.9,,,
8230000,אספרגוס אורגני  (300 גר),14.9,,,
8231505,בזיליקום-קרטון(1ק''ג),35.9,,,
8130015,בטטה  אורגנית,11.8,,,
8130510,בצל אדום - מקומי חדש,6.9,,,
8130512,בצל יבש אורגני חדש (גזית),4.25,,,
8230511,בצל ירוק אורגני ארוז,4.2,,,
8130021,גזר עלומים  אורגני (חדש),3.9,,,
8130030,דלורית אורגני - טרי עונה חדשה!,4.5,,,
8130037,דלעת טריפולי אורגנית - חדשה!!,3.3,,,
8130033,דלעת יפנית חדשה יפה!!!,4.9,,,
8130048,דלעת נפולי  - חדשה!!,3.9,,,
8130038,דלעת ספגטי אורגנית,8.9,,,
8130032,דלעת ערמונים אורגנית - חדש!,6.9,,,
8130031,דלעת פרובנס אורגנית,3.3,,,
8130040,"זנגויל טרי (אורגני) לק""ג",15.9,,,
8230523,חסה ערבית אורגנית,4.5,,,
8130045,חציל אורגני,3.9,,,
8230030,חציל אצבע לבן ארוז כ400 גר',8.9,,,
8130046,חציל בלדי  אורגני,3.9,,,
8230033,חצילון למילוי והחמצה ארוז כ400 גר',11.5,,,
8231520,"כוסברה - קרטון (1ק""ג)",37.9,,,
8130050,כרוב אדום אורגני,9,,,
8130056,"לוף אורגני לק""ג",6.9,,,
8131021,ליים אורגני,20.9,,,
8131020,לימון אורגני - חדש!!,20.9,,,
8231020,ליצ'י סלסלה - 250 גר ביחידה,15.9,,,
8131532,מלוחיה מצרית אורגני,5.9,,,
8230061,מלפפון בייבי ארוז(יח),7.9,,,
8130060,מלפפון חממה אורגני,5.9,,,
8131028,מנגו זן  טומי,11.9,,,
8131027,מנגו זן  שלי,15.9,,,
8231531,"נענע - קרטון (1ק""ג)",32.9,,,
8131040,סברס אורגני,11.9,,,
8130065,סלק  אדום אורגני,7.2,,,
8230070,סלק אורגני בוואקום 500 גרם   (10),10.9,,,
8231540,סלרי עלים אורגני - גדול ויפה!,4.9,,,
8231541,סלרי שורש אורגני,6.9,,,
8130523,עגבנית אשכולות אורגנית,7.9,,,
8130526,"עגבנית מגי אורגנית לפי ק""ג",7.9,,,
8231525,עלי מנגולד אדום אורגני,5.4,,,
8231526,עלי מנגולד ירוק אורגני,5.4,,,
8131047,ענבים אדומים - פליים (באר מילכה),20.9,,,
8131506,עשב לימון יחידה,3.5,,,
8231560,"פטרוזיליה - קרטון (1ק""ג)",27.9,,,
8230103,"פלפל ""סוויט בייט""  (יח)",5.2,,,
8130530,פלפל אדום אורגני - יפה,9.9,,,
8230540,פלפל חריף ארוז אורגני,4.9,,,
8230541,פלפל צ'ילי חריף תפזורת,12.9,,,
8130532,פלפל רמירו אדום  תפזורת,7.9,,,
8131058,פפאיה אורורה בהסבה,10.9,,,
8231566,קייל  אורגני,5.2,,,
8130551,קישוא בהיר  אורגני,7.9,,,
8130552,קישוא כהה - זוקיני  אורגני,9.9,,,
8131528,רוזמרין יחידה,3.5,,,
8131530,ריג'לה אורגני,3.9,,,
8130563,שום יבש  גדול לפי ק''ג,16.9,,,
8230573,שעועית לוביה  אורגני יח',6.9,,,
8130520,שרי ארוז בנספק (לבבות),8.9,,,
8130521,"שרי בלינדה  אשכולות לפי ק""ג",11.9,,,
8130528,שרי טריפל ארוז,8.9,,,
8230102,שרי לב אדום ארוז (רומניטה),6.9,,,
8130525,שרי ליקופן (יובל) ארוז,8.9,,,
8230530,שרי מיני פלאם לק''ג,12.9,,,
8231080,תאנים  שחורות אורגני לסלסלה,16.9,,,
8130090,תירס  ארוז אורגני - מתוק ויפה!!,10.9,,,
8130091,תירס תפזורת מתוק - מבצע!!,8.9,,,
8230090,תפוח אדמה  אליאנס - גדול (65+),3.9,,,
8130092,תפוח אדמה אדום - חדש וטרי,6.9,,,
8130094,תפוח אדמה צהוב חדש טרי!!,3.75,,,
8131094,תפוח עץ ענה אורגני- מבצע!,10.9,,,
8231581,תרד ארוז אורגני,5.25,,,
